depth ODP849	d18Oforams-b	d13Cforams-b	depth ODP846	d18Oforams-b	d13Cforams-b	Time (ka)	Benthic d18O (per mil)	Standard error (per mil)
5373	4.17	-0.75	6226	3.9	-0.67	708	3.387	0.069
5380	3.88	-0.61	6232	3.77	-0.46	710	3.335	0.066
5389	4.05	-0.54	6248	3.62	-0.4	712	3.421	0.086
5389	3.97	-0.65	6270	3.665	-0.39	714	3.646	0.061
5397	3.83	-0.06	6283	3.91	-0.85	716	3.973	0.077
5406	3.81	-0.01	6291	3.76	-0.675	718	4.106	0.065
5415	3.71	-0.09	6295	4.12	-0.74	720	4.023	0.09
5424	3.8	0.12	6303	3.84	-0.52	722	4.015	0.058
5455	3.5	0.13	6308	3.71	-0.56	724	3.803	0.061
5487	3.92	-0.71	6314	3.81	-0.51	726	3.676	0.05
5498	3.95	-0.31	6322	3.79	-0.53	728	3.523	0.048
5508	4.11	-0.58	6332	3.43	-0.41	730	3.517	0.042
5518	4.09	-0.34	6344	3.5	-0.56	732	3.376	0.069
5529	3.96	-0.29	6358	3.58	-0.28	734	3.514	0.039
5529	3.81	-0.32	6370	3.73	-0.55	736	3.553	0.062
5540	4.03	-0.41	6382	3.4	-0.29	738	3.573	0.058
5551	3.98	-0.09	6396	3.44	-0.16	740	3.471	0.081
5563	3.88	-0.2	6408	3.56	-0.52	742	3.534	0.052
5584	3.7	-0.08	6419	3.88	-0.61	744	3.836	0.064
5595	3.64	0.06	6428	3.88	-0.6	746	4.027	0.107
5605	3.52	0.2	6435	4.14	-0.84	748	3.947	0.063
5615	3.5	0.24	6442	3.94	-0.52	750	3.957	0.071
5626	3.48	0.18	6454	3.91	-0.45	752	3.839	0.051
5637	3.37	0.18	6465	3.99	-0.72	754	3.911	0.06
5649	3.47	0.11	6476	3.94	-0.61	756	3.946	0.063
5662	3.33	-0.17	6485	3.92	-0.49	758	3.62	0.055
5662	3.52	-0.02	6494	3.57	-0.27	760	3.687	0.048
5673	3.42	-0.02	6504	3.69	-0.61	762	3.469	0.06
5673	3.46	-0.17	6513	3.62	-0.48	764	3.639	0.063
5684	3.88	-0.31	6523	3.58	-0.59	766	3.469	0.061
5694	3.57	-0.52	6542	3.88	-0.59	768	3.428	0.046
5694	3.57	-0.7	6552	3.56	-0.36	770	3.346	0.053
5703	3.74	-0.34	6562	3.54	-0.45	772	3.225	0.046
5703	3.71	-0.31	6572	3.51	-0.33	774	3.117	0.046
5703	3.94	-0.62	6582	3.71	-0.61	776	3.003	0.054
5712	4	-0.36	6592	3.75	-0.74	778	2.922	0.044
5712	4.1	-0.22	6603	3.9	-0.55	780	2.837	0.054
5720	4.04	-0.09	6612	4.05	-0.51	782	2.899	0.049
5729	4.04	-0.08	6622	4.03	-0.53	784	2.906	0.067
5739	3.8	-0.16	6632	3.66	-0.345	786	3.042	0.054
5739	3.73	-0.19	6642	3.79	-0.32	788	3.062	0.099
5749	3.57	-0.41	6651	3.64	-0.62	790	3.519	0.064
5759	3.77	-0.21	6660	3.64	-0.485	792	3.628	0.06
5759	3.79	-0.33				794	4.095	0.088
5770	3.79	0.05				796	4.027	0.065
5770	3.71	-0.26				798	4.04	0.083
5782	3.54	0.06				800	4.036	0.073
5792	3.5	0.23				802	4.089	0.06
5803	3.38	0.18				804	3.908	0.067
5822	3.4	0.23				806	3.891	0.043
5830	3.38	0.37				808	3.848	0.064
5831	3.34	0.23				810	3.668	0.05
5839	3.4	0.37				812	3.744	0.063
5848	3.6	0.24				814	3.484	0.052
5857	3.92	0.21				816	3.438	0.083
5867	3.99	-0.07				818	3.263	0.067
5877	3.99	-0.04				820	3.317	0.063
5888	3.94	-0.18				822	3.26	0.048
5900	3.89	-0.21				824	3.281	0.084
5912	3.86	-0.03				826	3.468	0.061
5923	3.86	-0.01				828	3.306	0.057
5934	3.77	-0.01				830	3.401	0.048
5944	3.84	-0.41				832	3.434	0.053
5953	3.74	-0.11				834	3.314	0.064
5962	3.84	-0.45				836	3.175	0.041
5971	3.96	-0.44				838	3.348	0.064
5981	3.78	-0.32				840	3.384	0.071
5984	4.23	-0.62				842	3.167	0.047
5991	4.18	-0.6				844	3.034	0.045
5995	4.17	-0.64				846	2.936	0.044
6002	4.34	-0.62				848	2.986	0.066
6006	4.22	-0.69				850	2.858	0.044
6017	4.29	-0.51				852	3.013	0.045
6030	4.2	-0.75				854	2.989	0.048
6042	4.11	-0.54				856	2.825	0.05
6052	4.09	-0.51				858	2.784	0.047
6061	4.08	-0.41				860	2.811	0.065
6070	3.82	-0.13				862	3.044	0.086
6079	3.67	-0.21				864	2.937	0.063
6090	3.25	-0.25				866	3.415	0.068
6100	3.5	-0.16				868	3.675	0.063
6109	3.66	-0.27				870	3.865	0.066
6109	3.64	-0.32				872	4.03	0.055
6110	3.38	-0.33				874	4.042	0.07
6119	3.88	-0.04				876	4.055	0.084
6127	3.71	-0.05				878	3.95	0.075
6136	3.59	0.09				880	4.039	0.04
6136	3.6	-0.25				882	3.78	0.073
6147	3.41	-0.17				884	3.83	0.048
6147	3.77	-0.08				886	3.833	0.066
6161	3.67	-0.03				888	3.81	0.044
6161	3.54	0.04				890	3.753	0.062
6177	3.43	-0.14				892	3.681	0.066
6200	3.46	-0.25				894	3.77	0.069
6207	3.99	-0.43				896	3.757	0.05
6212	3.97	-0.48				898	3.692	0.041
6217	4.13	-0.59				900	3.654	0.046
6223	3.84	-0.36				902	3.534	0.035
6231	3.91	-0.3				904	3.501	0.055
6242	3.74	-0.15				906	3.478	0.035
6257	3.43	0.07				908	3.347	0.055
6273	3.47	-0.02				910	3.347	0.045
6286	3.34	0				912	3.447	0.04
6295	3.55	-0.06				914	3.391	0.049
6302	3.66	-0.33				916	3.424	0.064
6308	3.75	-0.21				918	3.734	0.064
6316	3.65	-0.14				920	3.87	0.055
6324	3.56	-0.13				922	3.911	0.055
6334	3.49	-0.14				924	3.788	0.06
6335	3.62	-0.08				926	3.738	0.035
6349	3.48	-0.16				928	3.624	0.052
6367	3.65	-0.14				930	3.459	0.052
6378	3.45	-0.19				932	3.434	0.046
6385	3.3	-0.13				934	3.342	0.06
6391	3.46	-0.26				936	3.376	0.047
6391	3.6	-0.01				938	3.219	0.043
6396	3.55	-0.16				940	3.246	0.042
6400	3.5	-0.35				942	3.05	0.043
6407	3.98	-0.39				944	2.926	0.039
6407	3.45	-0.41				946	2.99	0.061
6419	3.86	-0.31				948	2.845	0.048
6440	3.79	-0.48				950	2.799	0.043
6458	3.28	0.13				952	2.658	0.042
6469	3.36	0				954	2.753	0.073
6487	3.01	0.05				956	2.687	0.05
6509	3.48	-0.12				958	3.094	0.079
6519	4.18	-0.2				960	3.516	0.08
6519	3.76	-0.37				962	3.783	0.062
6527	3.78	-0.24				964	3.944	0.084
6534	3.68	-0.26				966	3.663	0.048
6534	3.97	-0.59				968	3.568	0.059
6534	3.69	-0.44				970	3.454	0.054
6539	3.83	-0.21				972	3.344	0.062
6545	3.53	0.05				974	3.232	0.052
6552	3.47	-0.03				976	3.133	0.056
6562	3.58	-0.1				978	3.081	0.051
6562	3.49	-0.04				980	3.124	0.055
6562	3.43	-0.24				982	3.352	0.07
6573	3.66	-0.16				984	3.506	0.061
6585	3.72	-0.19				986	3.601	0.069
6596	3.75	-0.09				988	3.567	0.074
6596	3.63	-0.11				990	3.465	0.047
6596	3.73	0.03				992	3.419	0.055
6604	3.85	-0.05				994	3.299	0.046
6613	3.59	-0.12				996	3.195	0.06
6622	3.65	-0.3				998	3.198	0.042
6622	3.39	-0.09				1000	3.295	0.056
6633	3.7	-0.11				1002	3.505	0.065
6645	3.4	-0.37				1004	3.644	0.081
6656	3.35	0				1006	3.577	0.066
6665	3.42	-0.03				1008	3.579	0.052
6665	3.25	0.03				1010	3.479	0.063
6674	3.47	-0.06				1012	3.494	0.067
6681	3.79	-0.17				1014	3.35	0.055
6681	3.58	-0.41				1016	3.085	0.053
6691	3.81	-0.12				1018	3.143	0.042
6691	3.97	-0.16				1020	3.192	0.051
6691	3.47	-0.31				1022	2.926	0.076
6702	3.95	-0.42				1024	3.002	0.053
6714	4.11	-0.19				1026	3.232	0.057
6715	3.8	-0.02				1028	3.199	0.058
6725	3.46	0.17				1030	3.308	0.076
6734	3.59	0.21				1032	3.438	0.043
6741	3.41	0.23				1034	3.715	0.052
6748	3.41	0.26				1036	3.693	0.065
6756	3.46	0.27				1038	3.901	0.086
6767	3.57	0.22				1040	3.687	0.08
6782	3.63	0.14				1042	3.591	0.086
6796	3.39	0.11				1044	3.737	0.058
6806	3.68	0.28				1046	3.581	0.056
6815	3.68	0.15				1048	3.65	0.068
6820	3.46	0.28				1050	3.543	0.05
6826	3.63	0.35				1052	3.632	0.059
6832	3.47	0.15				1054	3.607	0.059
6838	3.37	0.17				1056	3.476	0.057
6845	3.61	0.21				1058	3.588	0.058
6854	3.75	-0.08				1060	3.444	0.037
6866	3.6	-0.1				1062	3.3	0.059
6880	4.1	-0.28				1064	3.025	0.065
6894	3.79	-0.28				1066	2.838	0.045
6906	4.07	-0.24				1068	2.687	0.052
6916	4.02	-0.22				1070	2.703	0.053
6924	4.03	-0.15				1072	2.566	0.075
6931	4.02	-0.33				1074	2.779	0.059
6938	4	-0.23				1076	2.845	0.055
6947	3.58	-0.02				1078	2.902	0.04
6959	3.43	0.17				1080	2.969	0.041
6959	3.45	0.01				1082	3.169	0.062
6970	3.45	0.11				1084	3.061	0.068
6974	3.36	0.25				1086	3.251	0.041
6988	3.45	0.21				1088	3.269	0.046
6990	3.34	0.08				1090	3.308	0.05
7011	3.42	-0.15				1092	3.368	0.036
7021	3.72	-0.3				1094	3.357	0.057
7031	3.96	-0.48				1096	3.386	0.042
7041	3.89	-0.38				1098	3.653	0.046
7068	3.5	-0.13				1100	3.442	0.071
7076	3.24	-0.05				1102	3.386	0.06
7084	3.49	-0.24				1104	3.288	0.062
7091	3.9	-0.59				1106	3.189	0.052
7100	3.76	-0.52				1108	3.028	0.058
7108	3.54	-0.4				1110	3.208	0.061
7117	4.22	-0.85				1112	3.2	0.05
7124	3.84	-0.45				1114	3.482	0.052
7133	4.17	-0.59				1116	3.502	0.051
7144	3.75	-0.53				1118	3.557	0.048
7145	3.84	-0.51				1120	3.448	0.082
7164	3.89	-0.22				1122	3.833	0.062
7180	3.74	-0.33				1124	3.705	0.093
7191	3.45	0.07				1126	3.865	0.034
7201	3.26	-0.01				1128	3.738	0.064
7212	3.24	-0.04				1130	3.68	0.076
7223	3.22	0.08				1132	3.411	0.07
7231	3.43	-0.01				1134	3.584	0.06
7245	3.02	-0.03				1136	3.599	0.047
7252	3.7	0.01				1138	3.383	0.041
7267	3.62	-0.08				1140	3.381	0.056
7274	3.51	0.01				1142	3.329	0.058
7283	3.39	0.21				1144	3.353	0.051
7316	3.49	-0.14				1146	3.224	0.043
7323	3.82	-0.24				1148	3.375	0.059
7328	3.97	-0.38				1150	3.175	0.051
7334	4.03	-0.31				1152	3.112	0.047
7341	3.74	-0.19				1154	3.123	0.039
7353	3.58	0.14				1156	3.145	0.036
7368	3.58	0.14				1158	3.042	0.045
7380	3.5	0.1				1160	2.956	0.059
7391	3.52	0.16				1162	2.961	0.054
7402	3.32	0.03				1164	3.02	0.059
7413	3.54	-0.16				1166	2.889	0.049
7424	3.62	-0.06				1168	2.924	0.051
7435	3.77	-0.04				1170	2.96	0.065
7448	3.7	-0.17				1172	3.093	0.051
7448	3.61	-0.3				1174	3.125	0.061
7459	3.63	-0.08				1176	3.102	0.058
7467	3.17	-0.15				1178	3.156	0.042
7474	3.32	0.05				1180	2.961	0.058
7481	3.29	0.11				1182	3.197	0.038
7488	3.18	0.2				1184	3.014	0.05
7497	3.22	0.3				1186	3.127	0.045
7507	3.37	0.1				1188	3.034	0.077
7515	3.48	0.09				1190	3.407	0.029
7523	3.46	-0.07				1192	3.501	0.076
7530	3.32	-0.17				1194	3.634	0.055
7538	3.79	-0.21				1196	3.642	0.072
7549	3.52	-0.32				1198	3.791	0.063
7563	3.68	-0.55				1200	3.775	0.055
7577	3.58	-0.13				1202	3.562	0.085
7590	3.58	-0.11				1204	3.699	0.062
7602	3.69	-0.29				1206	3.518	0.069
7612	3.69	-0.52				1208	3.681	0.056
7621	3.75	-0.36				1210	3.563	0.067
7639	3.7	-0.29				1212	3.442	0.065
7649	3.82	-0.33				1214	3.46	0.056
7659	3.73	-0.47				1216	3.182	0.086
7670	3.77	-0.31				1218	3.093	0.109
7681	3.23	0.06				1220	3.333	0.073
7691	3.07	-0.05				1222	3.303	0.066
7701	3.16	0.02				1224	3.099	0.056
7711	3.46	-0.03				1226	2.988	0.093
7721	3.22	0.01				1228	2.909	0.075
7731	3.21	0.01				1230	2.785	0.06
7741	3.24	-0.05				1232	2.768	0.05
7751	3.41	-0.02				1234	2.699	0.095
7761	2.97	-0.09				1236	2.744	0.066
7781	3.19	0.02				1238	2.714	0.068
7791	3.13	-0.19				1240	2.693	0.052
7801	3.11	0.13				1242	2.827	0.1
7811	3.19	0.15				1244	3.211	0.073
7821	3.28	0.3				1246	3.464	0.067
7831	3.32	0.35				1248	3.716	0.034
7841	3.5	0.09				1250	3.673	0.057
7851	3.21	-0.27				1252	3.609	0.051
7861	3.88	-0.23				1254	3.63	0.052
7871	3.73	-0.02				1256	3.467	0.05
7881	3.81	-0.11				1258	3.263	0.081
7901	3.48	0.08				1260	3.23	0.052
7912	3.22	0.24				1262	3.427	0.074
7923	3.18	0.16				1264	3.321	0.073
7933	3.42	0.23				1266	3.267	0.067
7942	3.33	0.14				1268	3.267	0.082
7952	3.28	0.04				1270	3.203	0.074
7962	3.64	0.09				1272	3.172	0.07
7971	3.59	0.04				1274	3.2	0.049
7978	3.79	-0.37				1276	3.071	0.067
7979	3.38	-0.05				1278	3.03	0.038
7986	3.37	-0.31				1280	2.92	0.05
7996	3.48	0.07				1282	3.011	0.054
8006	3.31	0.12				1284	3.2	0.036
8009	3.49	0.01				1286	3.331	0.041
8016	3.29	-0.11				1288	3.621	0.047
8025	3.22	0.05				1290	3.713	0.052
8035	3.3	-0.03				1292	3.503	0.071
8046	3.54	-0.04				1294	3.298	0.077
8056	3.67	-0.07				1296	3.565	0.034
8075	3.49	0.12				1298	3.506	0.054
8085	3.41	-0.1				1300	3.432	0.032
8095	3.28	-0.2				1302	3.416	0.055
8105	3.22	-0.13				1304	3.327	0.038
8116	3.54	0.01				1306	3.255	0.075
8126	3.45	0.04				1308	3.161	0.04
8136	3.52	-0.47				1310	3.01	0.062
8146	3.51	-0.29				1312	3.05	0.033
8155	3.57	-0.42				1314	3.068	0.047
8165	3.63	-0.32				1316	2.951	0.051
8176	3.71	-0.33				1318	3.091	0.057
8176	3.61	-0.32				1320	3.306	0.033
8186	3.26	-0.31				1322	3.299	0.052
8189	3.31	-0.46				1324	3.352	0.063
8199	3.19	-0.08				1326	3.358	0.056
8208	3.06	-0.04				1328	3.453	0.069
8216	3.06	-0.06				1330	3.419	0.071
8224	3.31	-0.05				1332	3.384	0.067
8234	3.29	0.19				1334	3.547	0.066
8245	3.42	-0.04				1336	3.553	0.054
8260	3.56	-0.21				1338	3.458	0.077
8275	3.63	-0.17				1340	3.551	0.048
8289	3.63	-0.25				1342	3.425	0.074
8300	3.49	0.04				1344	3.243	0.08
8312	3.26	0.14				1346	3.217	0.069
8323	3.32	-0.06				1348	3.032	0.079
8334	3.41	-0.1				1350	2.946	0.059
8344	3.43	-0.24				1352	2.846	0.059
8353	3.44	-0.17				1354	2.772	0.059
8353	3.47	-0.13				1356	2.86	0.047
8362	3.3	-0.3				1358	2.911	0.045
8372	3.53	-0.13				1360	2.988	0.074
8372	3.43	-0.17				1362	3.157	0.06
8382	3.42	-0.34				1364	3.344	0.077
8393	3.52	-0.47				1366	3.348	0.069
8404	3.48	-0.42				1368	3.563	0.037
8414	3.32	-0.36				1370	3.4	0.064
8426	3.15	-0.24				1372	3.621	0.043
8446	3.09	-0.31				1374	3.566	0.05
8457	3.2	-0.4				1376	3.442	0.063
8467	3.31	-0.27				1378	3.557	0.078
8476	3.51	-0.35				1380	3.414	0.059
8486	3.37	-0.29				1382	3.325	0.06
8496	3.14	-0.04				1384	3.183	0.05
8506	2.91	-0.35				1386	3.082	0.076
8516	3.17	0.06				1388	2.97	0.068
8526	3.16	-0.02				1390	3.092	0.057
8536	3.2	-0.07				1392	2.948	0.044
8546	3.08	0.08				1394	3.061	0.114
8556	3.06	-0.09				1396	2.902	0.044
8566	2.99	-0.06				1398	2.855	0.049
8576	3.13	0				1400	2.916	0.084
8586	3.21	0.03				1402	2.988	0.046
8596	3.29	0.16				1404	3.099	0.08
8606	3.15	-0.21				1406	3.331	0.06
8616	3.07	-0.36				1408	3.335	0.116
8626	3.13	-0.3				1410	3.564	0.069
8636	3.02	-0.47				1412	3.764	0.081
8646	3.22	-0.37				1414	3.577	0.083
8656	3.25	-0.35				1416	3.315	0.117
8666	3.29	-0.51				1418	3.202	0.074
8676	3.39	-0.31				1420	3.324	0.064
8686	3.38	-0.36				1422	3.189	0.087
8696	3.51	-0.54				1424	3.084	0.065
8706	3.46	-0.5				1426	3.079	0.059
8716	3.55	-0.4				1428	2.966	0.06
8726	3.44	-0.6				1430	2.88	0.053
8736	3.2	-0.18				1432	2.739	0.051
8746	2.74	-0.21				1434	2.741	0.055
8757	2.87	-0.11				1436	2.598	0.089
8767	2.98	-0.2				1438	2.602	0.067
8776	2.89	0.09				1440	2.641	0.071
8786	2.95	0.05				1442	2.702	0.04
8796	3.17	-0.01				1444	2.69	0.052
8806	3.21	0.05				1446	2.718	0.049
8816	3.2	0.15				1448	2.714	0.059
8826	3.31	0.07				1450	2.854	0.055
8836	3.14	0.22				1452	3.159	0.125
8846	3.16	0.4				1454	3.558	0.125
8857	3.07	0.42				1456	3.671	0.068
8869	3.13	0.2				1458	3.598	0.063
8883	3.17	0.33				1460	3.459	0.082
8897	3.11	0.29				1462	3.431	0.061
8909	3.13	0.39				1464	3.578	0.091
8920	3.12	0.34				1466	3.355	0.086
8929	3.15	0.42				1468	3.225	0.126
8937	3.2	0.22				1470	2.976	0.065
8946	3.23	0.31				1472	2.807	0.074
8955	3.21	0.27				1474	2.74	0.077
8965	3.27	0.17				1476	2.67	0.081
8976	3.29	0.22				1478	2.782	0.065
8987	3.24	0.1				1480	2.752	0.081
8991	3.23	0.22				1482	2.8	0.065
8998	2.98	0.01				1484	2.927	0.097
9002	3.21	0.21				1486	2.784	0.052
9008	3.23	0.34				1488	2.782	0.05
9012	3.16	0.27				1490	2.868	0.046
9017	3.09	0.28				1492	3.131	0.104
9022	3.13	0.27				1494	3.407	0.092
9032	2.99	0.18				1496	3.721	0.051
9042	2.97	-0.09				1498	3.599	0.067
9053	2.92	-0.04				1500	3.574	0.003
9064	3.08	-0.22				1503	3.652	0.064
9077	3.19	0.11				1505	3.515	0.101
9090	3.03	-0.05				1508	3.508	0.064
9101	3.22	0.12				1510	3.38	0.059
9112	3.21	0.01				1513	3.101	0.079
9122	3.21	-0.05				1515	3.054	0.076
9122	3.25	0.18				1518	3.146	0.11
9131	3.38	-0.13				1520	3.005	0.067
9140	3.16	-0.05				1523	3.028	0.047
9140	3.27	-0.05				1525	3.058	0.07
9148	3.44	-0.3				1528	3.253	0.081
9157	3.68	-0.43				1530	3.32	0.072
9166	3.73	-0.35				1533	3.56	0.106
9176	3.62	-0.37				1535	3.768	0.089
9185	3.66	-0.44				1538	3.712	0.07
9196	3.36	-0.36				1540	3.743	0.071
9207	3.43	-0.38				1543	3.658	0.064
9217	3.41	-0.31				1545	3.434	0.061
9227	3.46	-0.19				1548	3.326	0.054
9236	3.22	0.01				1550	3.183	0.084
9246	3.06	0.05				1553	3.039	0.071
9255	3.21	0.03				1555	3.082	0.077
9255	3.02	-0.24				1558	3.148	0.057
9266	3.3	-0.4				1560	3.116	0.053
9276	3.19	-0.24				1563	2.937	0.063
9286	3.12	-0.14				1565	2.923	0.048
9294	3.46	-0.12				1568	3.091	0.048
9297	3.25	-0.11				1570	3.207	0.07
9310	3.41	-0.06				1573	3.534	0.052
9325	3.27	-0.18				1575	3.597	0.062
9337	3.26	-0.23				1578	3.543	0.074
9348	3.38	-0.23				1580	3.355	0.065
9358	3.32	-0.02				1583	3.354	0.067
9358	3.35	0.07				1585	3.158	0.099
9367	3.3	-0.18				1588	3.022	0.07
9377	3.15	-0.24				1590	3.082	0.044
9387	3.48	-0.11				1593	3.218	0.073
9397	3.4	-0.27				1595	3.07	0.051
9408	3.4	-0.28				1598	2.967	0.043
9419	3.51	-0.23				1600	2.886	0.055
9431	3.27	-0.29				1603	2.732	0.043
9443	3.15	-0.05				1605	2.908	0.048
9455	2.97	0.05				1608	3.02	0.08
9466	3	0.01				1610	3.021	0.065
9476	3.19	-0.17				1613	3.245	0.053
9485	3.25	-0.17				1615	3.198	0.055
9495	3.12	-0.05				1618	3.261	0.053
9511	3.08	-0.2				1620	3.014	0.046
9520	2.99	-0.25				1623	3.042	0.051
9528	3.26	-0.44				1625	3.12	0.039
9537	3.15	-0.32				1628	3.375	0.069
9547	2.96	-0.41				1630	2.911	0.064
9558	2.86	-0.31				1633	2.931	0.069
9592	2.84	0.11				1635	2.918	0.065
9604	3	0.06				1638	2.96	0.079
9614	3.16	-0.3				1640	3.036	0.081
9624	3.12	-0.04				1643	3.241	0.055
9633	3.23	-0.2				1645	3.413	0.068
9641	3.18	-0.23				1648	3.528	0.083
9649	3.1	0.04				1650	3.54	0.061
9657	2.92	0.24				1653	3.611	0.057
9664	2.94	0.16				1655	3.645	0.057
9672	2.85	0.15				1658	3.473	0.063
9688	2.94	0.22				1660	3.493	0.055
9697	2.94	0.08				1663	3.439	0.069
9708	3.05	0.02				1665	3.488	0.062
9720	3.04	-0.05				1668	3.269	0.061
9734	3.07	0.02				1670	3.239	0.077
9747	3.14	0.1				1673	3.224	0.057
9760	3.07	-0.07				1675	2.915	0.08
9773	3.13	0.15				1678	3.084	0.05
9785	3	0.05				1680	3.013	0.063
9785	3.11	-0.03				1683	2.932	0.066
9796	3.12	0				1685	2.948	0.046
9805	3.08	0.11				1688	3.1	0.054
9813	3.05	0				1690	3.076	0.061
9821	2.98	-0.13				1693	3.11	0.061
9837	3.03	-0.17				1695	3.184	0.05
9846	3.15	-0.34				1698	3.135	0.091
9855	3.14	-0.34				1700	3.446	0.057
9866	3.17	-0.34				1703	3.511	0.058
9877	3.2	-0.32				1705	3.484	0.065
9890	3.14	-0.28				1708	3.528	0.059
9902	3.17	-0.05				1710	3.291	0.063
9903	3.07	-0.01				1713	3.218	0.065
9915	3.26	0.11				1715	3.193	0.059
9916	2.97	0.11				1718	2.933	0.064
9928	2.92	0.13				1720	2.883	0.062
9940	2.96	0.1				1723	3.079	0.065
9950	2.88	0.05				1725	3.151	0.072
9960	2.74	0.21				1728	3.157	0.07
9969	2.92	0.04				1730	3.103	0.097
9969	3.12	0.06				1733	3.216	0.079
9977	3.29	0.1				1735	2.957	0.071
9985	3.29	-0.16				1738	2.96	0.062
9993	3.42	0.11				1740	3.069	0.081
10000	3.23	0.23				1743	3.052	0.096
10008	3.2	0.18				1745	3.489	0.073
10016	3.24	0.03				1748	3.567	0.082
10025	3.21	0.29				1750	3.525	0.052
10034	3.16	0.13				1753	3.206	0.067
10043	3.21	-0.36				1755	3.1	0.041
10053	3.29	-0.14				1758	3.188	0.08
10063	3.46	-0.17				1760	2.886	0.088
10074	3.47	-0.05				1763	2.989	0.076
10084	3.62	-0.14				1765	2.851	0.084
10095	3.67	-0.54				1768	2.876	0.08
10105	3.46	-0.33				1770	2.844	0.064
10115	3.3	-0.19				1773	2.744	0.079
10124	3.28	-0.07				1775	2.893	0.058
10134	3.22	0.12				1778	2.932	0.05
10144	3.08	0.17				1780	3.012	0.061
10153	3.12	0.06				1783	3.16	0.091
10163	3.25	-0.08				1785	3.131	0.065
10173	3.26	0.02				1788	3.205	0.066
10183	3.41	0.01				1790	3.353	0.075
10193	3.7	-0.38				1793	3.418	0.061
10203	3.73	-0.27				1795	3.454	0.053
10213	3.51	-0.39				1798	3.247	0.097
10223	3.44	-0.11				1800	3.311	0.038
10233	3.36	-0.06				1803	3.162	0.047
10244	3.27	0.09				1805	3.042	0.035
10261	2.89	0.24				1808	3.02	0.07
10271	3.15	0.28				1810	2.881	0.062
10281	3	0.35				1813	3.041	0.061
10301	3.05	0.15				1815	2.971	0.058
10311	3.02	-0.04				1818	3.345	0.055
10321	3.14	-0.18				1820	3.182	0.078
10328	3.1	-0.2				1823	3.085	0.077
10335	3.37	-0.26				1825	3.084	0.071
10341	3.43	-0.46				1828	3.006	0.042
10352	3.26	0.01				1830	2.783	0.076
10368	2.73	0.16				1833	2.988	0.065
10382	2.95	0.02				1835	3.038	0.07
10392	2.98	0.11				1838	2.933	0.057
10393	3.07	0.18				1840	2.935	0.059
10393	3.15	-0.06				1843	2.926	0.098
10430	3.34	-0.05				1845	2.971	0.098
10457	3.46	-0.31				1848	3.156	0.078
10472	3.13	-0.18				1850	2.977	0.108
10483	3.2	0.23				1853	2.971	0.055
10494	2.97	0.15				1855	2.923	0.065
10508	3.09	0.13				1858	3.004	0.072
10528	2.92	0.15				1860	3.253	0.051
10551	3.18	-0.06				1863	3.546	0.064
10568	3.08	-0.03				1865	3.517	0.074
10582	3.03	0.27				1868	3.33	0.062
10595	3.05	0.14				1870	3.313	0.106
10609	3.17	-0.12				1873	3.195	0.094
10625	3.17	-0.17				1875	3.204	0.065
10640	2.97	-0.27				1878	3.086	0.108
10654	3.32	-0.47				1880	3.127	0.087
10667	3.32	-0.49				1883	3.055	0.064
10678	3.17	-0.02				1885	3.112	0.047
10689	3.02	-0.03				1888	2.952	0.056
10702	2.79	-0.04				1890	3.041	0.058
10719	2.93	0.08				1893	2.975	0.051
10739	2.99	0				1895	3.102	0.071
10759	2.91	-0.13				1898	3.047	0.082
10775	3.17	-0.27				1900	3.381	0.054
10789	3.46	-0.38				1903	3.288	0.118
10800	3.12	-0.13				1905	3.369	0.064
10811	3.14	0.01				1908	3.186	0.093
10822	3.08	-0.1				1910	3.174	0.106
10835	2.97	0.08				1913	3.169	0.065
10848	3.05	-0.04				1915	3.061	0.064
10863	3.08	0.06				1918	3.003	0.071
10879	2.99	-0.19				1920	3.059	0.061
10897	3.48	-0.35				1923	3.015	0.079
10915	3.24	-0.36				1925	2.858	0.066
10932	3.02	-0.02				1928	2.837	0.087
10948	2.97	-0.13				1930	2.873	0.084
10962	2.95	-0.07				1933	2.814	0.09
10977	3.14	-0.13				1935	2.876	0.052
10991	3.15	0.11				1938	2.938	0.087
11005	3.13	0.04				1940	2.871	0.081
11019	3.2	0.11				1943	3.379	0.053
11034	3.13	0.02				1945	3.391	0.102
11050	3.14	0.02				1948	3.531	0.072
11067	3.19	-0.09				1950	3.463	0.067
11085	3.28	-0.22				1953	3.384	0.064
11102	3.32	-0.25				1955	3.252	0.069
11118	3.29	-0.14				1958	3.126	0.106
11131	3.15	-0.26				1960	3.218	0.085
11144	3.1	-0.03				1963	3.261	0.045
11155	3.18	-0.03				1965	3.1	0.069
11167	3.18	-0.08				1968	2.971	0.097
11180	3.31	-0.02				1970	3.112	0.065
11196	3.18	-0.08				1973	2.856	0.071
11213	3.3	-0.22				1975	2.906	0.064
11229	3.25	-0.05				1978	2.806	0.042
11243	3.1	-0.05				1980	2.687	0.039
11257	3.11	0.23				1983	2.741	0.07
11292	3.13	0.08				1985	2.72	0.068
11302	3.22	-0.07				1988	2.878	0.068
11312	3.23	0.03				1990	3.015	0.078
11323	3.22	-0.23				1993	3.036	0.095
11333	3.28	-0.06				1995	2.941	0.093
11343	3.28	-0.04				1998	3.051	0.079
11353	3.03	-0.25				2000	3.207	0.062
11363	3.35	-0.41				2003	3.167	0.093
11373	3.14	-0.03				2005	3.279	0.068
