. depth . depth																						
Depth (m) EDC	Ice age (a 1950) AICC		depth m EDC	Gas age (a 1950) AICC		EDC depth[m]	EDC CH4 [ppbv]		Gas age (a 1950) AICC	depth/gas age m EDC		depth m EDC (ref)	CO2compositBereiter		Ice age (a 1950) AICC	Depth/Ice age (m) EDC		Depth(m) EDC	EDC deut cor		Depth (m) EDC (ref)	nssCA800ka
74.25	1677.8		132	1293.39		153.83	613		1293.39	132		40.41803797	304.61		1677.8	74.25		31.35	-398.3		1282.69	65.961
75.9	1727.92		133.65	1365.6		155.04	605		1365.6	133.65		40.69651899	303.85		1727.92	75.9		31.9	-388.5		1302.999107	93.168
77.55	1778.58		135.3	1399.01		156.15	599		1399.01	135.3		41.42056962	301.92		1778.58	77.55		32.45	-391.9		1324.552128	20.027
79.2	1829.26		136.95	1435.78		157.58	604		1435.78	136.95		41.90791139	300.7		1829.26	79.2		33	-400.8		1345.735849	37.307
80.85	1881.37		138.6	1499.6		159.33	591		1499.6	138.6		42.55886076	301.3		1881.37	80.85		33.55	-387.7		1366.857843	92.599
82.5	1930.73		140.25	1602.09		159.67	594		1602.09	140.25		42.98702532	299.26		1930.73	82.5		34.1	-401.4		1387.62	65.94
84.15	1980.74		141.9	1682.3		159.78	609		1682.3	141.9		43.05316456	297.73		1980.74	84.15		34.65	-401		1408.081148	103.854
85.8	2031.85		143.55	1708.86		162.05	602		1708.86	143.55		43.18544304	298.11		2031.85	85.8		35.2	-387.3		1425.837069	55.154
87.45	2084.97		145.2	1775.41		163.82	597		1775.41	145.2		43.51962025	297.87		2084.97	87.45		35.75	-390.2		1445.513793	30.102
89.1	2136.64		146.85	1838.93		164.83	595		1838.93	146.85		43.95126582	301.5		2136.64	89.1		36.3	-394.5		1461.942308	57.375
90.75	2188.7		148.5	1878.43		165.18	594		1878.43	148.5		44.9085443	299.63		2188.7	90.75		36.85	-401.9		1478.357692	29.625
92.4	2243.55		150.15	1953.14		165.28	597		1953.14	150.15		44.98860759	297.33		2243.55	92.4		37.4	-399.8		1495.153174	20.894
94.05	2294.52		151.8	2029.43		167.09	593		2026.32	153.45		45.05474684	299.02		2294.52	94.05		37.95	-399.9		1514.048148	16.47
95.7	2346.95		153.45	2026.32		167.8	604		2029.43	151.8		45.55601266	295.99		2346.95	95.7		38.5	-399.1		1535.038541	56.864
97.35	2407.06		155.1	2129.89		168.09	592		2129.89	155.1		46.32531646	295.61		2407.06	97.35		39.05	-401.9		1558.636046	61.901
99	2464.03		156.75	2178.07		169.41	579		2178.07	156.75		46.85443038	294.22		2464.03	99		39.6	-404.8		1584.013414	63.652
100.65	2520.86		158.4	2264.68		170.33	603		2264.68	158.4		47.28607595	297.05		2520.86	100.65		40.15	-401.6		1610.964102	49.56
102.3	2574.79		160.05	2265.56		170.47	590		2265.56	160.05		47.3835443	295.28		2574.79	102.3		40.7	-396.7		1638.436585	43.425
103.95	2628.03		161.7	2412.28		173.05	592		2412.28	161.7		49.08924051	293.81		2628.03	103.95		41.25	-397.1		1664.627028	56.951
105.6	2680.49		163.35	2419.43		173.69	586		2419.43	163.35		49.12405063	293.17		2680.49	105.6		41.8	-394.2		1696.35	39.372
107.25	2734.89		165	2510.9		176.21	590		2510.9	165		49.33291139	295.32		2734.89	107.25		42.35	-395.9		1726.475581	51.7
108.9	2788.15		166.65	2559.21		176.28	580		2559.21	166.65		49.39556962	294.86		2788.15	108.9		42.9	-392.7		1747.35	65.564
110.55	2838.65		168.3	2628.86		176.38	588		2628.86	168.3		49.56613924	295.17		2838.65	110.55		43.45	-390.4		1762.522413	166.943
112.2	2888.64		169.95	2678.98		176.69	583		2678.98	169.95		50.44335443	290.92		2888.64	112.2		44	-389		1774.000971	230.333
113.85	2942.97		171.6	2725.33		178.26	580		2725.33	171.6		50.74272152	292.34		2942.97	113.85		44.55	-387		1784.835	366.691
115.5	2997.2		173.25	2807.22		178.48	578		2807.22	173.25		51.30664557	294.34		2997.2	115.5		45.1	-402.3		1795.051351	385.651
117.15	3054.25		174.9	2829.86		180.29	577		2829.86	174.9		51.92974684	288.12		3054.25	117.15		45.65	-392.5		1805.412019	426.234
118.8	3109.2		176.55	2936.85		180.78	577		2905.93	178.2		52.42405063	289.23		3109.2	118.8		46.2	-404.6		1815.766827	417.056
120.45	3162.77		178.2	2905.93		183.97	581		2936.85	176.55		52.55981013	289.76		3162.77	120.45		46.75	-390.5		1826.226471	395.097
122.1	3219.34		179.85	2974.82		185.28	573		2974.82	179.85		52.86265823	292.46		3219.34	122.1		47.3	-402.3		1836.704245	200.328
123.75	3279.95		181.5	3059.16		187.28	576		3059.16	181.5		53.89651899	287.77		3279.95	123.75		47.85	-400.1		1847.676471	243.114
125.4	3338.77		183.15	3147.28		188.04	589		3147.28	183.15		54.95474684	289.33		3338.77	125.4		48.4	-399.4		1858.497143	288.679
127.05	3396.81		184.8	3227.76		189.48	568		3227.76	184.8		56.05822785	291.56		3396.81	127.05		48.95	-400.6		1868.359244	429.965
128.7	3456.58		186.45	3271.71		192.33	581		3271.71	186.45		56.375	286.66		3456.58	128.7		49.5	-393.8		1877.549573	361.671
