. depth . depth																						
Depth (m) EDC	Ice age (a 1950) AICC		depth m EDC	Gas age (a 1950) AICC		EDC depth[m]	EDC CH4 [ppbv]		Gas age (a 1950) AICC	depth/gas age m EDC		depth m EDC (ref)	CO2compositBereiter		Ice age (a 1950) AICC	Depth/Ice age (m) EDC		Depth(m) EDC	EDC deut cor		Depth (m) EDC (ref)	nssCA800ka
958.65	61092.2		1016.4	62840		973.52	520		62840	1016.4		584.3209503	188.49		61092.2	958.65		327.8	-377.1			
960.3	61241.3		1018.05	62983.7		976.78	561		62983.7	1018.05		585.1985151	190.01		61241.3	960.3		328.35	-397.4			
961.95	61391.2		1019.7	63157.3		979.02	554		63157.3	1019.7		586.0983506	186.13		61391.2	961.95		328.9	-390.6			
963.6	61539.4		1021.35	63434.7		981.77	502		63434.7	1021.35		590.6161372	189.4		61539.4	963.6		329.45	-393.2			
965.25	61683.5		1023	63570.1		984.52	523		63570.1	1023		589.0656894	190.53		61683.5	965.25		330	-395.2			
966.9	61827.6		1024.65	63792.5		987.78	454		63792.5	1024.65		590.6956418	190.08		61827.6	966.9		330.55	-393.7			
968.55	61977.1		1026.3	63912.7		990.02	442		63912.7	1026.3		592.0501585	188.6		61977.1	968.55		331.1	-392.9			
970.2	62125.2		1027.95	64117.6		993.28	435		64117.6	1027.95		593.0440994	197.67		62125.2	970.2		331.65	-391.4			
971.85	62271.8		1029.6	64331.9		995.52	425		64331.9	1029.6		593.8052795	193.53		62271.8	971.85		332.2	-384.5			
973.5	62422.1		1031.25	64544.5		998.78	443		64544.5	1031.25		595.7960784	186.78		62422.1	973.5		332.75	-394.4			
975.15	62577.3		1032.9	64696.3		1001.02	426		64696.3	1032.9		597.3096999	187.99		62577.3	975.15		333.3	-394.8			
976.8	62730.7		1034.55	64833		1004.28	430		64776.2	1036.2		598.7049505	183.13		62730.7	976.8		333.85	-395.8			
978.45	62885.2		1036.2	64776.2		1006.52	425		64833	1034.55		600.3657127	184.68		62885.2	978.45		334.4	-396.2			
980.1	63049		1037.85	64990		1009.27	412		64990	1037.85		602.5211408	186.73		63049	980.1		334.95	-395.4			
981.75	63216.7		1039.5	65167.5		1009.78	437		65167.5	1039.5		605.6439965	180.57		63216.7	981.75		335.5	-391.7			
983.4	63383.7		1041.15	65532.4		1012.02	432		65532.4	1041.15		609.1966387	180.69		63383.7	983.4		336.05	-390.9			
985.05	63550.4		1042.8	65809.7		1018.03	431		65809.7	1042.8		611.0852526	182.66		63550.4	985.05		336.6	-388			
986.7	63727.1		1044.45	65997.4		1020.78	439		65997.4	1044.45		612.6644036	183.38		63727.1	986.7		337.15	-392.6			
988.35	63902		1046.1	66248.1		1023.02	430		66248.1	1046.1		614.5154788	186.54		63902	988.35		337.7	-397.7			
990	64082.2		1047.75	66505.8		1026.28	444		66505.8	1047.75		617.0703978	184.52		64082.2	990		338.25	-394.3			
991.65	64274.4		1049.4	66630.7		1028.52	444		66630.7	1049.4		619.1153738	184.57		64274.4	991.65		338.8	-391.4			
993.3	64461.3		1051.05	67008.8		1031.78	468		67008.8	1051.05		619.8193583	183.77		64461.3	993.3		339.35	-387.7			
994.95	64640.7		1052.7	67259.6		1034.02	484		67259.6	1052.7		621.2572126	186.01		64640.7	994.95		339.9	-395.2			
996.6	64799.9		1054.35	67475.9		1037.28	489		67475.9	1054.35		621.9408351	185.51		64799.9	996.6		340.45	-400.3			
998.25	64968.3		1056	67760		1039.51	434		67760	1056		623.2332791	185.44		64968.3	998.25		341	-393.3			
999.9	65132.7		1057.65	67974.6		1042.78	440		67974.6	1057.65		624.8623583	186.43		65132.7	999.9		341.55	-390			
1001.55	65316.8		1059.3	68214.1		1045.53	462		68214.1	1059.3		625.8962329	188.08		65316.8	1001.55		342.1	-390.9			
1003.2	65506.9		1060.95	68368.7		1048.28	461		68368.7	1060.95		626.716524	187.39		65506.9	1003.2		342.65	-387.4			
1004.85	65696.2		1062.6	68543.3		1050.52	457		68543.3	1062.6		627.116611	186.27		65696.2	1004.85		343.2	-389.7			
1006.5	65887.5		1064.25	68741		1053.78	476		68741	1064.25		627.9007513	194.93		65887.5	1006.5		343.75	-398			
1008.15	66084.7		1065.9	68972.2		1056.51	444		68972.2	1065.9		628.9506761	190.06		66084.7	1008.15		344.3	-396.1			
1009.8	66270		1067.55	69200.4		1059.28	461		69200.4	1067.55		630.6570896	191.95		66270	1009.8		344.85	-392			
1011.45	66467.3		1069.2	69406.4		1061.52	449		69406.4	1069.2		631.2819963	191.23		66467.3	1011.45		345.4	-397.7			
1013.1	66668		1070.85	69563.8		1064.78	459		69563.8	1070.85		631.7632463	191.53		66668	1013.1		345.95	-398.9			
1014.75	66867.4		1072.5	69675.2		1067.02	453		69675.2	1072.5		632.6648712	191.95		66867.4	1014.75		346.5	-394.7			
1016.4	67071		1074.15	69831.1		1070.28	471		69831.1	1074.15		635.6492377	191.46		67071	1016.4		347.05	-386.8			
1018.05	67274.6		1075.8	70013.5		1073.03	480		70013.5	1075.8		635.9303447	192.71		67274.6	1018.05		347.6	-385.8			
1019.7	67481.4		1077.45	70308.5		1075.78	451		70308.5	1077.45		636.226765	190.61		67481.4	1019.7		348.15	-387.9			
1021.35	67678.5		1079.1	70345.7		1078.02	456		70345.7	1079.1		636.2759861	189.3		67678.5	1021.35		348.7	-390.7			
1023	67869.3		1080.75	70422.5		1081.28	474		70422.5	1080.75		637.3927577	187.59		67869.3	1023		349.25	-402			
1024.65	68060.1		1082.4	70698.9		1083.52	460		70698.9	1082.4		637.8926251	190.58		68060.1	1024.65		349.8	-392.6			
1026.3	68251.7		1084.05	70924.4		1086.78	462		70924.4	1084.05		638.0960723	189.28		68251.7	1026.3		350.35	-390.8			
1027.95	68448		1085.7	71075.4		1089.02	450		71075.4	1085.7		638.522191	188.99		68448	1027.95		350.9	-394.6			
1029.6	68642.9		1087.35	71180.5		1092.27	490		71180.5	1087.35		637.0539723	189.29		68642.9	1029.6		351.45	-381			
1031.25	68833.6		1089	71298		1094.52	473		71298	1089		638.7754098	189.96		68833.6	1031.25		352	-382.1			
1032.9	69019.5		1090.65	71355.2		1097.78	470		71355.2	1090.65		640.3463208	191.82		69019.5	1032.9		352.55	-399.5			
1034.55	69199.7		1092.3	71546.2		1100.02	475		71546.2	1092.3		640.9430189	191.59		69199.7	1034.55		353.1	-393.5			
1036.2	69383.9		1093.95	71674.2		1102.77	482		71674.2	1093.95		641.9947131	192.63		69383.9	1036.2		353.65	-398.4			
1037.85	69582.6		1095.6	71753.3		1105.55	449		71753.3	1095.6		642.5925	189.16		69582.6	1037.85		354.2	-393.4			
1039.5	69753.6		1097.25	71881		1108.27	431		71881	1097.25		642.7683197	189.65		69753.6	1039.5		354.75	-390.9			
1041.15	69924.6		1098.9	71959.4		1111.02	432		71959.4	1098.9		645.6950544	193.1		69924.6	1041.15		355.3	-386.1			
1042.8	70108.1		1100.55	72051.3		1113.77	432		72051.3	1100.55		646.4603171	192.82		70108.1	1042.8		355.85	-387.8			
1044.45	70300.4		1102.2	72148.5		1116.52	457		72148.5	1102.2		647.9892806	193.8		70300.4	1044.45		356.4	-383.8			
1046.1	70492		1103.85	72388.6		1119.27	453		72388.6	1103.85		649.0584763	193.89		70492	1046.1		356.95	-386.9			
1047.75	70679.4		1105.5	72568.2		1122.02	448		72568.2	1105.5		649.478401	192.69		70679.4	1047.75		357.5	-393			
1049.4	70853.4		1107.15	72693.3		1124.77	452		72693.3	1107.15		649.7954165	193.26		70853.4	1049.4		358.05	-396.6			
1051.05	71018.3		1108.8	72824.2		1127.57	451		72824.2	1108.8		650.4786119	192.87		71018.3	1051.05		358.6	-394.1			
1052.7	71185.7		1110.45	72986.8		1130.27	461		72986.8	1110.45		653.2857827	192.26		71185.7	1052.7		359.15	-395.5			
1054.35	71351.1		1112.1	73105.5		1133.02	469		73105.5	1112.1		654.343698	188.1		71351.1	1054.35		359.7	-395.4			
1056	71509.4		1113.75	73303.3		1135.77	467		73303.3	1113.75		655.1421602	192.39		71509.4	1056		360.25	-389.6			
1057.65	71665.4		1115.4	73502.9		1138.52	477		73502.9	1115.4		655.9671602	191.01		71665.4	1057.65		360.8	-394.8			
1059.3	71812		1117.05	73755.8		1141.27	461		73755.8	1117.05		656.4357335	189.83		71812	1059.3		361.35	-388.3			
1060.95	71954.1		1118.7	74044.2		1144.02	416		74044.2	1118.7		656.8115385	189.21		71954.1	1060.95		361.9	-394.8			
1062.6	72092.2		1120.35	74226.5		1146.77	415		74226.5	1120.35		657.9049451	189.24		72092.2	1062.6		362.45	-387.9			
1064.25	72243.2		1122	74345		1149.52	424		74345	1122		658.3005495	189.77		72243.2	1064.25		363	-396.1			
1065.9	72397.7		1123.65	74491.7		1152.27	438		74491.7	1123.65		659.4641207	191.28		72397.7	1065.9		363.55	-391.3			
1067.55	72548.1		1125.3	74586.7		1155.02	422		74586.7	1125.3		660.4797872	190.97		72548.1	1067.55		364.1	-393.6			
1069.2	72705.8		1126.95	74784.7		1157.77	466		74784.7	1126.95		661.2665832	191.38		72705.8	1069.2		364.65	-387.8			
1070.85	72859.8		1128.6	74935.1		1160.52	442		74935.1	1128.6		661.5894243	191.57		72859.8	1070.85		365.2	-396.1			
1072.5	73016.6		1130.25	75067.4		1163.27	442		75067.4	1130.25		662.1785641	188.25		73016.6	1072.5		365.75	-403.2			
1074.15	73174.7		1131.9	75215.4		1166.02	472		75215.4	1131.9		662.6309744	188.48		73174.7	1074.15		366.3	-399.4			
1075.8	73336.8		1133.55	75261.4		1168.77	475		75261.4	1133.55		663.173641	186.52		73336.8	1075.8		366.85	-400.8			
1077.45	73503.8		1135.2	75418.4		1171.52	450		75418.4	1135.2		663.4452094	185.99		73503.8	1077.45		367.4	-399.4			
1079.1	73680.3		1136.85	75528.1		1174.27	463		75528.1	1136.85		664.4733854	184.3		73680.3	1079.1		367.95	-400.9			
1080.75	73857.7		1138.5	75704.8		1177.02	477		75704.8	1138.5		665.986129	182.94		73857.7	1080.75		368.5	-399.2			
1082.4	74029.8		1140.15	75784		1179.22	487		75784	1140.15		667.8833333	187.14		74029.8	1082.4		369.05	-404.9			
1084.05	74196.3		1141.8	75900.6		1182.55	497		75900.6	1141.8		668.4911092	190.33		74196.3	1084.05		369.6	-404			
1085.7	74357.1		1143.45	76200		1185.27	512		76200	1143.45		672.6519435	188		74357.1	1085.7		370.15	-398.2			
1087.35	74516.5		1145.1	76399.5		1188.02	515		76399.5	1145.1		674.5122325	188.48		74516.5	1087.35		370.7	-400			
1089	74675.4		1146.75	76647.6		1190.77	515		76647.6	1146.75		675.7920031	189.95		74675.4	1089		371.25	-399.8			
1090.65	74834.8		1148.4	76797.3		1193.52	536		76797.3	1148.4		679.2133333	193.71		74834.8	1090.65		371.8	-406.2			
1092.3	74990.4		1150.05	77049.8		1196.27	563		77049.8	1150.05		679.4812037	192.93		74990.4	1092.3		372.35	-403.5			
1093.95	75143.9		1151.7	77275.1		1199.02	535		77275.1	1151.7		681.8970566	192.51		75143.9	1093.95		372.9	-405.5			
1095.6	75285.3		1153.35	77530.3		1201.77	550		77530.3	1153.35		682.0423351	193.33		75285.3	1095.6		373.45	-414.8			
1097.25	75428.7		1155	77722.4		1204.52	549		77722.4	1155		682.8860123	193.91		75428.7	1097.25		374	-406.2			
1098.9	75569.8		1156.65	77798.5		1207.27	548		77798.5	1156.65		683.9730272	196.42		75569.8	1098.9		374.55	-405.8			
1100.55	75709.8		1158.3	78030.4		1210.52	584		78030.4	1158.3		684.0226552	196.91		75709.8	1100.55		375.1	-410.9			
1102.2	75839.8		1159.95	78161.5		1212.82	576		78161.5	1159.95		686.4971888	192.47		75839.8	1102.2		375.65	-403.7			
1103.85	75975.4		1161.6	78299.5		1215.52	595		78299.5	1161.6		687.0858434	195.25		75975.4	1103.85		376.2	-400.6			
1105.5	76120.9		1163.25	78491.2		1218.27	571		78491.2	1163.25		687.8986948	194.11		76120.9	1105.5		376.75	-409.6			
1107.15	76270.8		1164.9	78632.8		1221.02	606		78632.8	1164.9		688.734493	194.61		76270.8	1107.15		377.3	-401.2			
1108.8	76427.4		1166.55	78726		1223.77	617		78726	1166.55		689.6475149	194.43		76427.4	1108.8		377.85	-413.3			
1110.45	76582		1168.2	78888		1226.52	616		78888	1168.2		690.0823825	195.08		76582	1110.45		378.4	-414.3			
1112.1	76743.9		1169.85	79036		1229.27	622		79036	1169.85		690.2594295	195.94		76743.9	1112.1		378.95	-408.8			
1113.75	76909.6		1171.5	79268.2		1232.02	629		79268.2	1171.5		690.742285	199.3		76909.6	1113.75		379.5	-417.4			
1115.4	77086.2		1173.15	79446.9		1234.77	631		79446.9	1173.15		691.0729678	196.7		77086.2	1115.4		380.05	-406.8			
1117.05	77264.5		1174.8	79555.4		1237.52	560		79555.4	1174.8		691.8077626	196.33		77264.5	1117.05		380.6	-404.3			
1118.7	77429.8		1176.45	79675.5		1240.27	515		79675.5	1176.45		692.7021012	197.65		77429.8	1118.7		381.15	-412.4			
1120.35	77601.2		1178.1	79793.2		1243.02	485		79793.2	1178.1		697.557335	196.9		77601.2	1120.35		381.7	-412.6			
1122	77768.5		1179.75	79968.5		1245.77	465		79968.5	1179.75		698.3075133	197.13		77768.5	1122		382.25	-410.9			
1123.65	77930.9		1181.4	80059.5		1248.52	464		80059.5	1181.4		698.8185894	197.8		77930.9	1123.65		382.8	-420.8			
1125.3	78097.7		1183.05	80165		1251.27	445		80165	1183.05		700.568258	200.03		78097.7	1125.3		383.35	-417.2			
1126.95	78260.2		1184.7	80286.3		1254.02	450		80286.3	1184.7		701.3152377	195.63		78260.2	1126.95		383.9	-418.8			
1128.6	78414.5		1186.35	80446.2		1256.77	443		80446.2	1186.35		701.642892	195.27		78414.5	1128.6		384.45	-415.6			
1130.25	78566		1188	80614.6		1259.52	452		80614.6	1188		701.8026877	194.46		78566	1130.25		385	-418.6			
1131.9	78715		1189.65	80708.3		1262.27	454		80708.3	1189.65		701.9375611	194.47		78715	1131.9		385.55	-410.9			
1133.55	78872.5		1191.3	80759.5		1265.57	429		80759.5	1191.3		702.1655264	196.47		78872.5	1133.55		386.1	-413.7			
1135.2	79032		1192.95	80950		1267.77	425		80950	1192.95		702.418414	195.41		79032	1135.2		386.65	-412.7			
1136.85	79184.6		1194.6	81032		1270.52	468		81032	1194.6		702.9434211	195.93		79184.6	1136.85		387.2	-419.3			
1138.5	79331.8		1196.25	81150.1		1273.27	429		81150.1	1196.25		703.7256203	194.89		79331.8	1138.5		387.75	-420.8			
1140.15	79475.7		1197.9	81337.4		1276.02	448		81337.4	1197.9		704.1009023	195.79		79475.7	1140.15		388.3	-412.1			
1141.8	79622.3		1199.55	81410.2		1278.77	446		81410.2	1199.55		704.4854887	196.27		79622.3	1141.8		388.85	-416			
1143.45	79761.4		1201.2	81532.2		1281.52	480		81532.2	1201.2		704.6505988	196.2		79761.4	1143.45		389.4	-408.8			
1145.1	79895.2		1202.85	81667.9		1284.27	507		81667.9	1202.85		707.8849206	199.65		79895.2	1145.1		389.95	-413.9			
1146.75	80027.5		1204.5	81822.1		1287.02	502		81822.1	1204.5		708.8823413	199.49		80027.5	1146.75		390.5	-416.4			
1148.4	80163.6		1206.15	81920		1289.77	508		81920	1206.15		709.2621032	200.29		80163.6	1148.4		391.05	-417.7			
1150.05	80301.7		1207.8	82067		1292.52	501		82067	1207.8		709.8688492	198.89		80301.7	1150.05		391.6	-414.9			
1151.7	80432.7		1209.45	82233.8		1295.27	494		82233.8	1209.45		710.9804511	197.16		80432.7	1151.7		392.15	-410.4			
1153.35	80559.2		1211.1	82368.8		1298.02	494		82368.8	1211.1		713.0636095	202.8		80559.2	1153.35		392.7	-411.6			
1155	80691.6		1212.75	82510.7		1300.77	476		82510.7	1212.75		713.465858	203.09		80691.6	1155		393.25	-415			
1156.65	80816.1		1214.4	82558		1303.55	463		82558	1214.4		715.5752096	198.78		80816.1	1156.65		393.8	-418.4			
1158.3	80946.8		1216.05	82712.4		1309.02	445		82712.4	1216.05		716.413435	203.6		80946.8	1158.3		394.35	-415.5			
1159.95	81078.6		1217.7	82791.8		1311.77	447		82791.8	1217.7		718.0095506	205.38		81078.6	1159.95		394.9	-412.9			
1161.6	81202.6		1219.35	82859.2		1314.52	461		82859.2	1219.35		718.4367275	204.47		81202.6	1161.6		395.45	-408			
1163.25	81333.9		1221	83046.2		1317.27	437		83046.2	1221		718.6097612	203.62		81333.9	1163.25		396	-410.8			
1164.9	81461.6		1222.65	83171.8		1320.02	432		83171.8	1222.65		718.7920646	201.36		81461.6	1164.9		396.55	-414.8			
1166.55	81590.9		1224.3	83278.5		1322.77	448		83278.5	1224.3		719.277177	200.3		81590.9	1166.55		397.1	-408.7			
1168.2	81717.6		1225.95	83325.9		1325.52	447		83325.9	1225.95		719.8375281	201.06		81717.6	1168.2		397.65	-408.5			
1169.85	81847.1		1227.6	83459.9		1328.27	437		83459.9	1227.6		719.978427	202.04		81847.1	1169.85		398.2	-411.8			
1171.5	81981.3		1229.25	83601		1331.02	437		83601	1229.25		720.252809	201.89		81981.3	1171.5		398.75	-412.8			
1173.15	82117.4		1230.9	83669.8		1333.77	442		83669.8	1230.9		720.7138202	201.83		82117.4	1173.15		399.3	-419			
1174.8	82246.1		1232.55	83809		1336.52	439		83809	1232.55		722.1200084	201.81		82246.1	1174.8		399.85	-417.5			
1176.45	82378.7		1234.2	83938.1		1342.02	436		83938.1	1234.2		722.5228188	200.5		82378.7	1176.45		400.4	-414			
1178.1	82506.7		1235.85	84000.3		1344.77	442		84000.3	1235.85		723.971044	203.29		82506.7	1178.1		400.95	-416.6			
1179.75	82627.8		1237.5	84112.1		1347.52	434		84112.1	1237.5		724.7640957	198.8		82627.8	1179.75		401.5	-410.8			
1181.4	82751.9		1239.15	84258.3		1350.27	454		84258.3	1239.15		725.8667553	204.12		82751.9	1181.4		402.05	-403.4			
1183.05	82882.3		1240.8	84417.9		1353.02	436		84417.9	1240.8		727.5296419	201.78		82882.3	1183.05		402.6	-413.7			
1184.7	83011.8		1242.45	84549		1355.77	453		84549	1242.45		728.2505249	200.09		83011.8	1184.7		403.15	-410.2			
1186.35	83134.8		1244.1	84609.9		1358.52	442		84609.9	1244.1		731.2137179	198.96		83134.8	1186.35		403.7	-415.9			
1188	83254.1		1245.75	84789.5		1361.27	435		84789.5	1245.75		732.4194872	205.1		83254.1	1188		404.25	-416.8			
1189.65	83377.3		1247.4	84861.3		1364.02	453		84861.3	1247.4		733.1945122	203.77		83377.3	1189.65		404.8	-417.3			
1191.3	83497.9		1249.05	85059.8		1366.77	464		85059.8	1249.05		733.5896341	203.75		83497.9	1191.3		405.35	-417.1			
1192.95	83619.2		1250.7	85204.7		1369.52	486		85204.7	1250.7		734.5099821	202.76		83619.2	1192.95		405.9	-411.9			
1194.6	83743.8		1252.35	85330.3		1372.27	479		85330.3	1252.35		735.3933303	203.51		83743.8	1194.6		406.45	-415.5			
1196.25	83865.9		1254	85444		1375.02	495		85444	1254		736.1184466	206.36		83865.9	1196.25		407	-413.4			
1197.9	83982.6		1255.65	85666.5		1377.77	501		85666.5	1255.65		737.5048544	210.16		83982.6	1197.9		407.55	-405			
1199.55	84098.1		1257.3	85811.4		1380.52	491		85811.4	1257.3		738.0924312	207.35		84098.1	1199.55		408.1	-417.2			
1201.2	84219		1258.95	85975.1		1383.27	487		85975.1	1258.95		740.4526718	208.25		84219	1201.2		408.65	-405.5			
1202.85	84344.5		1260.6	86057		1386.02	505		86057	1260.6		740.5156489	209.66		84344.5	1202.85		409.2	-414.3			
1204.5	84472.3		1262.25	86271.6		1388.77	506		86271.6	1262.25		740.9493455	206.59		84472.3	1204.5		409.75	-414.8			
1206.15	84592.1		1263.9	86423.8		1391.52	511		86423.8	1263.9		742.286911	212.51		84592.1	1206.15		410.3	-412			
1207.8	84722.9		1265.55	86579.3		1394.3	512		86579.3	1265.55		742.6478324	209.84		84722.9	1207.8		410.85	-407.5			
1209.45	84846.7		1267.2	86783.6		1397.02	524		86783.6	1267.2		744.1480925	214.3		84846.7	1209.45		411.4	-403.4			
1211.1	84975.7		1268.85	86886.6		1399.77	526		86886.6	1268.85		746.1158784	212.14		84975.7	1211.1		411.95	-402.3			
1212.75	85111.8		1270.5	87052.7		1402.52	526		87052.7	1270.5		747.8949697	212.09		85111.8	1212.75		412.5	-405.9			
1214.4	85242.8		1272.15	87221.2		1405.27	525		87221.2	1272.15		748.8002795	214.21		85242.8	1214.4		413.05	-410.4			
1216.05	85375.6		1273.8	87408.6		1408.02	530		87408.6	1273.8		749.533591	211.21		85375.6	1216.05		413.6	-410.8			
1217.7	85503.7		1275.45	87610.9		1410.77	530		87610.9	1275.45		750.1104043	214.36		85503.7	1217.7		414.15	-413.4			
1219.35	85641.4		1277.1	87685.1		1413.52	547		87685.1	1277.1		750.6146254	208.34		85641.4	1219.35		414.7	-406			
1221	85780.2		1278.75	87886.3		1416.27	537		87886.3	1278.75		750.8360256	206.52		85780.2	1221		415.25	-402.6			
1222.65	85920.6		1280.4	88117.9		1419.02	547		88117.9	1280.4		752.130641	207.41		85920.6	1222.65		415.8	-404.3			
1224.3	86051.6		1282.05	88354.9		1421.77	538		88354.9	1282.05		753.4626152	208		86051.6	1224.3		416.35	-406.9			
1225.95	86192.2		1283.7	88512.3		1424.52	542		88512.3	1283.7		754.3472619	210.79		86192.2	1225.95		416.9	-411.2			
1227.6	86333.3		1285.35	88699		1427.27	511		88699	1285.35		755.1342857	207.23		86333.3	1227.6		417.45	-392.2			
1229.25	86475.8		1287	88914		1430.53	491		88914	1287		756.0823171	210.08		86475.8	1229.25		418	-397.7			
1230.9	86621.8		1288.65	89023.4		1432.77	509		89023.4	1288.65		756.9855691	208.23		86621.8	1230.9		418.55	-399.1			
1232.55	86765.9		1290.3	89227.4		1435.52	472		89227.4	1290.3		757.6208955	204.79		86765.9	1232.55		419.1	-402.3			
1234.2	86906.6		1291.95	89397.5		1438.27	470		89397.5	1291.95		758.0370046	204.46		86906.6	1234.2		419.65	-401.1			
1235.85	87054.2		1293.6	89561.6		1441.02	498		89561.6	1293.6		758.483685	206.54		87054.2	1235.85		420.2	-403.9			
1237.5	87201.2		1295.25	89692		1443.77	515		89692	1295.25		760.6960894	206.09		87201.2	1237.5		420.75	-401.2			
1239.15	87356.4		1296.9	89814.2		1446.52	559		89814.2	1296.9		761.3321229	205.65		87356.4	1239.15		421.3	-418.2			
1240.8	87506.9		1298.55	90029.2		1449.27	573		90029.2	1298.55		762.1607076	205.99		87506.9	1240.8		421.85	-408.8			
1242.45	87657.8		1300.2	90199.6		1452.02	581		90199.6	1300.2		762.3809555	202.34		87657.8	1242.45		422.4	-402.3			
1244.1	87814.5		1301.85	90279.7		1454.77	602		90279.7	1301.85		763.1990316	204.28		87814.5	1244.1		422.95	-411.1			
1245.75	87988.1		1303.5	90457.4		1457.52	596		90457.4	1303.5		763.9116527	207.32		87988.1	1245.75		423.5	-411.1			
1247.4	88144.2		1305.15	90698.9		1460.27	572		90698.9	1305.15		765.3465332	208.69		88144.2	1247.4		424.05	-407.3			
1249.05	88305.8		1306.8	90823.6		1463.02	618		90823.6	1306.8		765.7657021	209.5		88305.8	1249.05		424.6	-413.6			
1250.7	88465		1308.45	90933.6		1465.77	601		90933.6	1308.45		766.0002128	209.33		88465	1250.7		425.15	-411.2			
1252.35	88625.5		1310.1	91200.1		1468.52	595		91200.1	1310.1		766.2796596	207.87		88625.5	1252.35		425.7	-418.6			
1254	88781.1		1311.75	91362.5		1471.27	591		91362.5	1311.75		766.8357447	204.78		88781.1	1254		426.25	-415.7			
1255.65	88943.2		1313.4	91561.3		1474.02	483		91561.3	1313.4		767.1657447	191.53		88943.2	1255.65		426.8	-411.3			
1257.3	89105.3		1315.05	91836.1		1476.77	445		91836.1	1315.05		767.6196455	198.14		89105.3	1257.3		427.35	-416.2			
1258.95	89264.7		1316.7	91950.6		1479.52	460		91950.6	1316.7		768.1152142	200.4		89264.7	1258.95		427.9	-412.6			
1260.6	89415.8		1318.35	92082.7		1482.27	464		92082.7	1318.35		769.5780822	195.7		89415.8	1260.6		428.45	-407.6			
1262.25	89565.3		1320	92305.1		1485.02	475		92305.1	1320		772.1030625	196.67		89565.3	1262.25		429	-410.1			
1263.9	89726		1321.65	92488.3		1487.77	486		92488.3	1321.65		772.8730878	193.58		89726	1263.9		429.55	-411.6			
1265.55	89880.1		1323.3	92582		1490.52	508		92582	1323.3		774.2570375	193.87		89880.1	1265.55		430.1	-407.5			
1267.2	90025.4		1324.95	92778.7		1493.27	495		92778.7	1324.95		774.3538025	197.55		90025.4	1267.2		430.65	-409.9			
1268.85	90178.8		1326.6	92906.5		1496.02	509		92906.5	1326.6		775.2415437	192.6		90178.8	1268.85		431.2	-411.3			
1270.5	90330.6		1328.25	93022.2		1498.77	502		93022.2	1328.25		777.1785132	193.08		90330.6	1270.5		431.75	-419			
1272.15	90478.7		1329.9	93192.6		1501.52	505		93192.6	1329.9		777.3571242	193.69		90478.7	1272.15		432.3	-399.4			
1273.8	90623.6		1331.55	93319.5		1504.27	492		93319.5	1331.55		778.2345778	197.9		90623.6	1273.8		432.85	-413			
1275.45	90775.3		1333.2	93448.1		1507.02	496		93448.1	1333.2		779.637719	201.32		90775.3	1275.45		433.4	-416.4			
1277.1	90929.1		1334.85	93578.4		1509.8	473		93578.4	1334.85		780.4180869	201.48		90929.1	1277.1		433.95	-416.3			
1278.75	91084.5		1336.5	93718.6		1512.52	474		93718.6	1336.5		783.7652265	200.47		91084.5	1278.75		434.5	-410			
1280.4	91250.4		1338.15	93892.7		1515.27	456		93892.7	1338.15		785.6863765	200.97		91250.4	1280.4		435.05	-410.7			
1282.05	91402.5		1339.8	93999.5		1518.02	455		93999.5	1339.8		787.8151111	201.53		91402.5	1282.05		435.6	-412.7			
1283.7	91555.1		1341.45	94118.5		1520.8	464		94118.5	1341.45		788.9438543	204.19		91555.1	1283.7		436.15	-411.8			
1285.35	91715.3		1343.1	94246.6		1523.52	467		94246.6	1343.1		791.3784883	205.49		91715.3	1285.35		436.7	-414.2			
1287	91878.1		1344.75	94420.5		1526.78	451		94420.5	1344.75		792.5546427	201.12		91878.1	1287		437.25	-416.6			
1288.65	92031.1		1346.4	94511.4		1529.02	471		94511.4	1346.4		793.771085	199.89		92031.1	1288.65		437.8	-420			
1290.3	92190.2		1348.05	94654.5		1531.77	471		94654.5	1348.05		798.8812462	200.9		92190.2	1290.3		438.35	-418.5			
1291.95	92343.9		1349.7	94771.1		1537.27	473		94771.1	1349.7		801.5436702	204.83		92343.9	1291.95		438.9	-419.6			
1293.6	92491.6		1351.35	94933.5		1540.02	474		94933.5	1351.35		803.9204804	206.35		92491.6	1293.6		439.45	-418.7			
1295.25	92644.2		1353	95068.5		1542.77	472		95068.5	1353		805.534578	204.26		92644.2	1295.25		440	-420.1			
1296.9	92789		1354.65	95207.2		1545.52	501		95207.2	1354.65		807.2520655	203.16		92789	1296.9		440.55	-419.8			
1298.55	92934.1		1356.3	95388.4		1548.27	496		95345.1	1357.95		808.3429327	201.66		92934.1	1298.55		441.1	-414			
1300.2	93076.9		1357.95	95345.1		1551.02	501		95388.4	1356.3		810.5234211	204.22		93076.9	1300.2		441.65	-416.2			
1301.85	93217.8		1359.6	95529.8		1553.77	495		95529.8	1359.6		811.5412946	203.18		93217.8	1301.85		442.2	-417.6			
1303.5	93365.1		1361.25	95703.1		1556.52	504		95703.1	1361.25		813.6061223	201.69		93365.1	1303.5		442.75	-421.6			
1305.15	93510.5		1362.9	95903.1		1559.27	528		95903.1	1362.9		815.9320513	204.31		93510.5	1305.15		443.3	-416.6			
1306.8	93650.9		1364.55	96026		1562.02	544		96026	1364.55		817.1835487	202		93650.9	1306.8		443.85	-423.8			
